MO;1.2;0.8;1;0.001273289;0.00E+00
MK;1;1;1;0.006377399;0
MG;0.8;1.1;1;0.006638127;0
MW;0.8;1;1;0.006638127;0
MY;0.7;1.5;1.6;0.003862888;0
MV;1.3;2;3;0.083124787;0
ML;0.8;1;1;0.003764605;0
MT;1.3;2;3;0.083124787;0
MH;1.3;2;3;0.083124787;0
MQ;1.3;2;3;0.083124787;0
MR;0.8;1;1;0.003764605;0
MU;1.3;2;3;0.083124787;0
YT;1.3;2;3;0.083124787;0
MX;0.8;1.3;1;0.009298171;0
FM;1.3;2;3;0.083124787;0
MD;0.8;1.2;1;0.007770183;0
MC;1.3;0.8;1;0.003957879;0.00E+00
MN;0.8;1.2;1;0.01218826;0
ME;1;1;1;0.013646947;0
MS;1.3;2;3;0.083124787;0
MA;1;1;1;0.003764605;0
MZ;0.8;1;1;0.006638127;0
MM;0.8;1.2;1;0.003862888;0
NA;0.8;1;1;0.006638127;0
NR;1.3;2;3;0.083124787;0
NP;1.6;0.8;1.4;0.000973926;0.00E+00
NL;1.2;0.8;1;0.003957879;0.00E+00
NC;1.3;2;3;0.083124787;0
NZ;1.2;1;1.8;0.04155914;0
NI;1;1;1;0.009298171;0
NE;0.8;1;1;0.003764605;0
NG;1;1;0.8;0.003764605;0
NU;1.3;2;3;0.083124787;0
NF;1.3;2;3;0.083124787;0
MP;1.3;2;3;0.083124787;0
NO;1.2;1;1;0.037494973;0
OM;1;1;1;0.00970103;0
PK;1.6;0.8;1.4;0.004235498;0.00E+00
PW;1.3;2;3;0.083124787;0
PS;0.8;1.2;1;0.00970103;0
PA;1;1.2;1;0.009298171;0
PG;1;1;1;0.003862888;0
PY;0.8;1.3;1;0.006763185;0
PE;0.8;1.3;1;0.006763185;0
PH;0.5;1.7;1.3;0.003862888;0
PN;1.3;2;3;0.083124787;0
PL;1;1;0.9;0.007770183;0
PT;1;1;1;0.006377399;0
PR;0.8;1.3;1;0.009298171;0
QA;0.8;1;1.6;0.00970103;0
RE;1.3;2;3;0.083124787;0
RO;1;1;1;0.013646947;0
RU;0.8;1.1;0.9;0.007770183;0
RW;0.8;1;1;0.004419223;0
BL;1.3;2;3;0.083124787;0
SH;1.3;2;3;0.083124787;0
KN;1.3;2;3;0.083124787;0
LC;1.3;2;3;0.083124787;0
MF;1.3;2;3;0.083124787;0
PM;1.3;2;3;0.083124787;0
VC;1.3;2;3;0.083124787;0
WS;1.3;2;3;0.083124787;0
SM;1.2;0.8;1;0.003957879;0.00E+00
ST;1.3;2;3;0.083124787;0
SA;1;1;2.1;0.00970103;0
SN;0.8;1;1;0.003764605;0
RS;1;1;1;0.013646947;0
SC;1.3;2;3;0.083124787;0
SL;0.8;1;1;0.003764605;0
SG;1.4;2;2;0.003862888;0
SX;1.3;2;3;0.083124787;0
SK;1;1.5;1;0.013646947;0
SI;1;1.5;1;0.013646947;0
SB;1.3;2;3;0.083124787;0
SO;0.8;1;1;0.004419223;0
ZA;0.8;1;1.4;0.006638127;0
GS;1.3;2;3;0.083124787;0
SS;0.8;1;1;0.004419223;0
ES;1;1.5;1;0.006377399;0
LK;1;1;1;0.000973926;0.00E+00
SD;0.8;1;1;0.004419223;0
SR;0.8;1;1;0.006763185;0
SJ;1.3;2;3;0.083124787;0
SZ;1;1;1;0.006638127;0
SE;1.2;2;1;0.037494973;0
CH;1.2;2;1;0.003957879;0.00E+00
SY;0.7;1;1;0.00970103;0
TW;1.2;2;1;0.001273289;0.00E+00
TJ;0.8;1;1;0.004235498;0.00E+00
TZ;0.8;1;1;0.004419223;0
TH;1;2;2;0.003862888;0
TL;1.3;2;3;0.083124787;0
TG;0.7;1;1;0.003764605;0
TK;1.3;2;3;0.083124787;0
TO;1.3;2;3;0.083124787;0
TT;1.8;2;1;0.006763185;0
TN;1;1;1;0.008435684;0
TR;1.8;2;1.4;0.00970103;0
TM;0.8;1;1;0.004235498;0.00E+00
TC;1.3;2;3;0.083124787;0
TV;1.3;2;3;0.083124787;0
UG;0.8;1;1;0.004419223;0
UA;1;1;1.1;0.007770183;0
AE;1;1;1.9;0.00970103;0
GB;1.2;1;1;0.003957879;0.00E+00
UM;1.3;2;3;0.083124787;0
US;1.5;2;2.5;0.020054376;0.00E+00
UY;0.8;1;1;0.008000258;0
UZ;0.8;1;1;0.004235498;0.00E+00
VU;1.3;2;3;0.083124787;0
VE;0.8;1;1;0.006763185;0
VN;0.8;1;1.3;0.003862888;0
VG;1.3;2;3;0.083124787;0
VI;1.3;2;3;0.083124787;0
WF;1.3;2;3;0.083124787;0
EH;1;1;1;0.003764605;0
YE;1;1;1;0.00970103;0
ZM;0.8;1;1;0.004419223;0
ZW;0.8;1;1;0.006638127;0
